

# Data from male_chn
"AverageAge"	"P1"	"P2"
26	0.0102594425211496	0
27	0.0102594425211496	0
28	0.0102594425211496	0
29	0.0102594425211496	0
30	0.0102594425211496	0
31	0.0113511755747478	0.0088039289892093
32	0.0113511755747478	0.0088039289892093
33	0.0113511755747478	0.0088039289892093
34	0.0113511755747478	0.0088039289892093
35	0.0113511755747478	0.0088039289892093
36	0.0134792896918505	0.0179911368915818
37	0.0134792896918505	0.0179911368915818
38	0.0134792896918505	0.0179911368915818
39	0.0134792896918505	0.0179911368915818
40	0.0134792896918505	0.0179911368915818
41	0.0164862059328687	0.0219939566285786
42	0.0164862059328687	0.0219939566285786
43	0.0164862059328687	0.0219939566285786
44	0.0164862059328687	0.0219939566285786
45	0.0164862059328687	0.0219939566285786
46	0.0211778808121835	0.0387816680577021
47	0.0211778808121835	0.0387816680577021
48	0.0211778808121835	0.0387816680577021
49	0.0211778808121835	0.0387816680577021
50	0.0211778808121835	0.0387816680577021
51	0.0266208686290423	0.0592986428644229
52	0.0266208686290423	0.0592986428644229
53	0.0266208686290423	0.0592986428644229
54	0.0266208686290423	0.0592986428644229
55	0.0266208686290423	0.0592986428644229
56	0.0316187910454438	0.0706852957118779
57	0.0316187910454438	0.0706852957118779
58	0.0316187910454438	0.0706852957118779
59	0.0316187910454438	0.0706852957118779
60	0.0316187910454438	0.0706852957118779
61	0.0361814353461893	0.0772729266442274
62	0.0361814353461893	0.0772729266442274
63	0.0361814353461893	0.0772729266442274
64	0.0361814353461893	0.0772729266442274
65	0.0361814353461893	0.0772729266442274
66	0.0404424260145812	0.0814338931249295
67	0.0404424260145812	0.0814338931249295
68	0.0404424260145812	0.0814338931249295
69	0.0404424260145812	0.0814338931249295
70	0.0404424260145812	0.0814338931249295
71	0.0450136325538851	0.0844101695003261
72	0.0450136325538851	0.0844101695003261
73	0.0450136325538851	0.0844101695003261
74	0.0450136325538851	0.0844101695003261
75	0.0450136325538851	0.0844101695003261
76	0.0501371703087987	0.0866775927183173
77	0.0501371703087987	0.0866775927183173
78	0.0501371703087987	0.0866775927183173
79	0.0501371703087987	0.0866775927183173
80	0.0501371703087987	0.0866775927183173
81	0.0559438398145578	0.0884624541079508
82	0.0559438398145578	0.0884624541079508
83	0.0559438398145578	0.0884624541079508
84	0.0559438398145578	0.0884624541079508
85	0.0559438398145578	0.0884624541079508
86	0.0626065396993357	0.0899039884529554
87	0.0626065396993357	0.0899039884529554
88	0.0626065396993357	0.0899039884529554
89	0.0626065396993357	0.0899039884529554
90	0.0626065396993357	0.0899039884529554


# Data from female_chn
"AverageAge"	"P1"	"P2"
26	0.023033766040785	0.0383381977501735
27	0.023033766040785	0.0383381977501735
28	0.023033766040785	0.0383381977501735
29	0.023033766040785	0.0383381977501735
30	0.023033766040785	0.0383381977501735
31	0.0242451000862018	0.033915238000145
32	0.0242451000862018	0.033915238000145
33	0.0242451000862018	0.033915238000145
34	0.0242451000862018	0.033915238000145
35	0.0242451000862018	0.033915238000145
36	0.0251439721730553	0.0331951793491999
37	0.0251439721730553	0.0331951793491999
38	0.0251439721730553	0.0331951793491999
39	0.0251439721730553	0.0331951793491999
40	0.0251439721730553	0.0331951793491999
41	0.0256184413037734	0.0330859382976301
42	0.0256184413037734	0.0330859382976301
43	0.0256184413037734	0.0330859382976301
44	0.0256184413037734	0.0330859382976301
45	0.0256184413037734	0.0330859382976301
46	0.0256226531238744	0.0333245474138783
47	0.0256226531238744	0.0333245474138783
48	0.0256226531238744	0.0333245474138783
49	0.0256226531238744	0.0333245474138783
50	0.0256226531238744	0.0333245474138783
51	0.0252737416631765	0.0338560927790396
52	0.0252737416631765	0.0338560927790396
53	0.0252737416631765	0.0338560927790396
54	0.0252737416631765	0.0338560927790396
