sim_year,agent_gender,agent_age,mortality_rate
1992,male,54,0.0060999999999999
1992,male,55,0.0109
1992,male,56,0.0109
1992,male,57,0.0109
1992,male,58,0.0109
1992,male,59,0.0109
1992,male,60,0.0203
1992,male,61,0.0203
1992,male,62,0.0203
1992,male,63,0.0203
1992,male,64,0.0203
1992,male,65,0.031
1992,male,66,0.031
1992,male,67,0.031
1992,male,68,0.031
1992,male,69,0.031
1992,male,70,0.0467999999999999
1992,male,71,0.0467999999999999
1992,male,72,0.0467999999999999
1992,male,73,0.0467999999999999
1992,male,74,0.0467999999999999
1992,male,75,0.0688
1992,male,76,0.0688
1992,male,77,0.0688
1992,male,78,0.0688
1992,male,79,0.0688
1992,male,80,0.0975999999999999
1992,male,81,0.0975999999999999
1992,male,82,0.0975999999999999
1992,male,83,0.0975999999999999
1992,male,84,0.0975999999999999
1992,male,85,0.1470999999999999
1993,male,0,0.005
1993,male,1,0.0003
1993,male,2,0.0003
1993,male,3,0.0003
1993,male,4,0.0003
1993,male,5,0.0001
1993,male,6,0.0001
1993,male,7,0.0001
1993,male,8,0.0001
1993,male,9,0.0001
1993,male,10,0.0003
1993,male,11,0.0003
1993,male,12,0.0003
1993,male,13,0.0003
1993,male,14,0.0003
1993,male,15,0.0005
1993,male,16,0.0005
1993,male,17,0.0005
1993,male,18,0.0005
1993,male,19,0.0005
1993,male,20,0.0008
1993,male,21,0.0008
1993,male,22,0.0008
1993,male,23,0.0008
1993,male,24,0.0008
1993,male,25,0.0006
1993,male,26,0.0006
1993,male,27,0.0006
1993,male,28,0.0006
1993,male,29,0.0006
1993,male,30,0.0007
1993,male,31,0.0007
1993,male,32,0.0007
1993,male,33,0.0007
1993,male,34,0.0007
1993,male,35,0.001
1993,male,36,0.001
1993,male,37,0.001
1993,male,38,0.001
1993,male,39,0.001
1993,male,40,0.002
1993,male,41,0.002
1993,male,42,0.002
1993,male,43,0.002
1993,male,44,0.002
1993,male,45,0.0034
1993,male,46,0.0034
1993,male,47,0.0034
1993,male,48,0.0034
1993,male,49,0.0034
1993,male,50,0.0060999999999999
1993,male,51,0.0060999999999999
1993,male,52,0.0060999999999999
1993,male,53,0.0060999999999999
1993,male,54,0.0060999999999999
1993,male,55,0.0105
1993,male,56,0.0105
1993,male,57,0.0105
1993,male,58,0.0105
1993,male,59,0.0105
1993,male,60,0.0184
1993,male,61,0.0184
1993,male,62,0.0184
1993,male,63,0.0184
1993,male,64,0.0184
1993,male,65,0.0292
1993,male,66,0.0292
1993,male,67,0.0292
1993,male,68,0.0292
1993,male,69,0.0292
1993,male,70,0.0448999999999999
1993,male,71,0.0448999999999999
1993,male,72,0.0448999999999999
1993,male,73,0.0448999999999999
1993,male,74,0.0448999999999999
1993,male,75,0.07
1993,male,76,0.07
1993,male,77,0.07
1993,male,78,0.07
1993,male,79,0.07
1993,male,80,0.0899
1993,male,81,0.0899
1993,male,82,0.0899
1993,male,83,0.0899
1993,male,84,0.0899
1993,male,85,0.1375
1994,male,0,0.0043
1994,male,1,0.0004
1994,male,2,0.0004
1994,male,3,0.0004
1994,male,4,0.0004
1994,male,5,0.0002
1994,male,6,0.0002
1994,male,7,0.0002
1994,male,8,0.0002
1994,male,9,0.0002
1994,male,10,0.0003
1994,male,11,0.0003
1994,male,12,0.0003
1994,male,13,0.0003
1994,male,14,0.0003
1994,male,15,0.0005
1994,male,16,0.0005
1994,male,17,0.0005
1994,male,18,0.0005
1994,male,19,0.0005
1994,male,20,0.0007
1994,male,21,0.0007
1994,male,22,0.0007
1994,male,23,0.0007
1994,male,24,0.0007
1994,male,25,0.0007
1994,male,26,0.0007
1994,male,27,0.0007
1994,male,28,0.0007
1994,male,29,0.0007
1994,male,30,0.0008
1994,male,31,0.0008
1994,male,32,0.0008
1994,male,33,0.0008
1994,male,34,0.0008
1994,male,35,0.0013
1994,male,36,0.0013
1994,male,37,0.0013
1994,male,38,0.0013
1994,male,39,0.0013
1994,male,40,0.002
1994,male,41,0.002
1994,male,42,0.002
1994,male,43,0.002
1994,male,44,0.002
1994,male,45,0.0032
1994,male,46,0.0032
1994,male,47,0.0032
1994,male,48,0.0032
1994,male,49,0.0032
1994,male,50,0.006
1994,male,51,0.006
1994,male,52,0.006
1994,male,53,0.006
1994,male,54,0.006
1994,male,55,0.0105
1994,male,56,0.0105
1994,male,57,0.0105
1994,male,58,0.0105
1994,male,59,0.0105
1994,male,60,0.0179
1994,male,61,0.0179
1994,male,62,0.0179
1994,male,63,0.0179
1994,male,64,0.0179
1994,male,65,0.0306999999999999
1994,male,66,0.0306999999999999
1994,male,67,0.0306999999999999
1994,male,68,0.0306999999999999
