sim_year,agent_gender,agent_race,albumin_scenario,eGFR_stage,age_group,mortality_rate
1990,female,chinese,1,3.1,80-84,0.08819846285226292
1990,female,chinese,1,3.2,80-84,0.13229769427839436
1990,female,chinese,1,4,80-84,0.23519590093936776
1990,female,chinese,1,1,85+,0.12246785714285713
1990,female,chinese,1,2,85+,0.12246785714285713
1990,female,chinese,1,3.1,85+,0.14696142857142855
1990,female,chinese,1,3.2,85+,0.22044214285714284
1990,female,chinese,1,4,85+,0.3918971428571429
1990,female,chinese,2,1,0,0.0062
1990,female,chinese,2,1,1-4,0.0002
1990,female,chinese,2,2,1-4,0.0002
1990,female,chinese,2,1,10-14,0.0002
1990,female,chinese,2,2,10-14,0.0002
1990,female,chinese,2,1,15-19,0.0002
1990,female,chinese,2,2,15-19,0.0002
1990,female,chinese,2,1,20-24,0.0004
1990,female,chinese,2,2,20-24,0.0004
1990,female,chinese,2,1,25-29,0.0004
1990,female,chinese,2,2,25-29,0.0004
1990,female,chinese,2,1,30-34,0.0006
1990,female,chinese,2,2,30-34,0.0006
1990,female,chinese,2,1,35-39,0.001
1990,female,chinese,2,2,35-39,0.001
1990,female,chinese,2,1,40-44,0.0014
1990,female,chinese,2,2,40-44,0.0014
1990,female,chinese,2,1,45-49,0.002399452596365848
1990,female,chinese,2,2,45-49,0.002399452596365848
1990,female,chinese,2,3.1,45-49,0.0028793431156390174
1990,female,chinese,2,1,5-9,0.0001
1990,female,chinese,2,2,5-9,0.0001
1990,female,chinese,2,1,50-54,0.004196085077535801
1990,female,chinese,2,2,50-54,0.004196085077535801
1990,female,chinese,2,3.1,50-54,0.0050353020930429615
1990,female,chinese,2,3.2,50-54,0.007552953139564443
1990,female,chinese,2,1,55-59,0.007369279060348319
1990,female,chinese,2,2,55-59,0.007369279060348319
1990,female,chinese,2,3.1,55-59,0.00884313487241798
1990,female,chinese,2,3.2,55-59,0.013264702308626973
1990,female,chinese,2,4,55-59,0.023581692993114623
1990,female,chinese,2,1,60-64,0.010810506901475487
1990,female,chinese,2,2,60-64,0.010810506901475487
1990,female,chinese,2,3.1,60-64,0.012972608281770584
1990,female,chinese,2,3.2,60-64,0.019458912422655877
1990,female,chinese,2,4,60-64,0.03459362208472156
1990,female,chinese,2,1,65-69,0.0181723287453258
1990,female,chinese,2,2,65-69,0.0181723287453258
