year,Diabetes,Hyper,total,male,female,chn,mal,ind,18-39,40-54,55-69,70-74
2019,0.337,0.188,0.087,0.086,0.087,0.08199999999999999,0.113,0.092,0.033,0.067,0.147,0.28
2022,0.423,0.242,0.138,0.136,0.14,0.128,0.19,0.146,0.05899999999999999,0.108,0.216,0.36
2024,0.433,0.266,0.149,0.149,0.149,0.139,0.20199999999999999,0.14800000000000002,0.057999999999999906,0.128,0.23199999999999993,0.35
