year_-61,year_-60,year_-59,year_-58,year_-57,year_-56,year_-55,year_-54,year_-53,year_-52,year_-51,year_-50,year_-49,year_-48,year_-47,year_-46,year_-45,year_-44,year_-43,year_-42,year_-41,year_-40,year_-39,year_-38,year_-37,year_-36,year_-35,year_-34,year_-33,year_-32,year_-31,year_-30,year_-29,year_-28,year_-27,year_-26,year_-25,year_-24,year_-23,year_-22,year_-21,year_-20,year_-19,year_-18,year_-17,year_-16,year_-15,year_-14,year_-13,year_-12,year_-11,year_-10,year_-9,year_-8,year_-7,year_-6,year_-5,year_-4,year_-3,year_-2,year_-1,ethnicity
3.905617741342162,4.1095750128008195,4.146119452252108,4.199146069176231,4.197879451423303,4.311765093531411,4.333244019846073,4.4299497214295425,4.423788851306363,4.5643731605802556,4.615779565291802,4.679360064531308,4.774531440429527,4.899748036407508,4.937733197654698,5.016844358130871,5.0921044470632015,5.234155609213325,5.371448032813587,5.48834273994019,5.6311706629055,5.857679363995513,6.061521560010986,6.309456053337669,6.449300125300689,6.687649085608268,6.951029964389006,7.19730141740456,7.484730277677976,7.753448834094098,8.062252597529278,8.366358154978295,8.421216170027654,8.616147908901675,8.834599161299433,9.0714903908125,9.232721988190063,9.451064325620473,9.623333312861206,9.733744757118309,9.92989283177368,10.016961113243287,10.151268442444657,10.335045761739694,10.508922256507832,10.545440828848765,10.669503617743993,10.777341445310764,10.917231087131213,10.981824249736864,11.229635751967818,11.32198229029089,11.545443782311851,11.763100799957407,11.955870976421917,12.137769803729679,12.404997182556588,12.530322562759041,12.739009584888223,12.87050435887481,13.127740135512155,All
3.9140259603762675,4.193548387096775,4.223140247866923,4.281405460456735,4.307364296415812,4.3145893938110165,4.425637282529358,4.5042351768809175,4.607558526646603,4.672343834352089,4.733013862741743,4.819682048869021,4.895582858460424,4.985924509409649,5.0217247338922,5.1888549799849395,5.276623457172983,5.380999598828276,5.498793182592214,5.569380598245853,5.735543018335684,5.941290821552247,6.148722878330129,6.357562945496924,6.52903692684986,6.640604293665518,6.884136384205246,7.120755084168532,7.3756608325206585,7.651237644190786,7.944569260105348,8.263660935363756,8.435509430444645,8.586674198837017,8.756009357098563,8.998447062000896,9.191638613466763,9.373179362324528,9.56498774743126,9.733128853248585,9.904567775409987,10.044816956161092,10.147539557257032,10.324446993690616,10.34931682616778,10.462455363878691,10.607629462199943,10.743083355008977,10.842612788428424,11.048571355222961,11.143109894296396,11.217233459769291,11.467829564439533,11.662606982656497,11.824022064511789,12.041945305279182,12.265499374665,12.512995384039588,12.711004067801356,12.912151907669504,13.062973296133917,All
3.948709863891954,4.185355862775218,4.209136466846049,4.283364017391985,4.370750259306211,4.479340243454684,4.439496271931851,4.548625266114056,4.563169716177946,4.684534071713425,4.7800787266814995,4.858333613417135,4.901347211699989,4.953095376837405,5.096832549950736,5.217391304347826,5.2518141785027606,5.402950504492366,5.511379621814521,5.572249195000036,5.695345557122708,5.923175005748288,6.148722878330129,6.285741388188741,6.50424481208247,6.713490591041611,6.941848492599077,7.173299601050891,7.390417286865472,7.6880590666404265,7.958414358625811,8.340526339001633,8.380200727091943,8.578691735694505,8.795304259198998,9.043868963950969,9.254796637295119,9.495219580402427,9.601223414382488,9.784864778305401,9.968806942771549,10.167382664999442,10.289858675251388,10.424200104740766,10.50829635285944,10.634084393703164,10.805247938580429,10.81540599009053,10.927435298919628,11.058198341591147,11.170875654593942,11.252366607894547,11.517818382730178,11.67192429022082,11.855638895429014,12.053498613603002,12.303294347246464,12.535174172800486,12.697701447185095,12.91285779832704,13.18183112224563,All
3.9287403436859534,4.155657962109575,4.185129985095976,4.211876689255357,4.296799969267412,4.300467892412988,4.356342335516894,4.4299497214295425,4.510790919824931,4.547829267018442,4.588396371726853,4.680200315934528,4.79264797918245,4.858711620692202,5.016879068340036,5.058856168998455,5.163431123240092,5.261405009348058,5.4003228051471135,5.479019800489096,5.6121297602256695,5.832595926728493,6.071134303762703,6.280998455158956,6.4432696108978105,6.645242512589451,6.801503138095893,7.0922123836398425,7.359621208232818,7.6277481160763605,7.950862486705559,8.240979340847662,8.359071559519,8.514832030554413,8.74925554580005,8.963459921309624,9.19777046044039,9.376245699462164,9.578499352057142,9.763924046734786,9.910744618425522,10.087529248635063,10.268728325854847,10.388039601985087,10.502037316375517,10.555499673087562,10.644248860379074,10.736104855132686,10.880240819398207,11.100557081611171,11.205098568449056,11.327837814978432,11.591486114947973,11.820335689281103,12.062830042716357,12.277089109987495,12.549992441005484,12.651612813795207,12.83002751542054,12.958034800409415,13.218840744747482,All
3.911923905617741,4.084997439836149,4.1441189121062685,4.219710916996357,4.227651646114248,4.306116492972199,4.37112525754622,4.4870226933007205,4.527658667803021,4.635773122268081,4.673968851617319,4.818841797465802,4.890641984255081,4.992490335924099,5.072604222189918,5.16586738535928,5.263443527879427,5.372673393231551,5.566167651370441,5.660458545191156,5.746826516220029,6.032566662718348,6.262702554243339,6.497818250806299,6.560529613176004,6.802279353299761,6.93791357611768,7.26152249359411,7.500128316994303,7.679805989194817,8.059105984229173,8.367618243562521,8.429294969393778,8.645621618966333,8.83766907552603,9.025454679376615,9.235787911676876,9.421627489099171,9.611664199775216,9.741135603554998,9.932363568979895,10.160573458952868,10.276186096230097,10.431681588069527,10.528951173256388,10.765478046572449,10.839973229957193,10.988599668838459,11.025013074146354,11.23918568531307,11.376213137724628,11.466418565916943,11.634239709538656,11.845625524098551,12.083683697151121,12.247186429619966,12.50532565522739,12.666860731068324,12.884638273739926,13.114742526382663,13.229516597392246,All
3.9392506174785855,4.200716845878136,4.168125393856341,4.25888205570136,4.276631708347739,4.377665433388877,4.431180878290355,4.4698102097205235,4.545414191990483,4.627936541107222,4.762964230703406,4.850771350788156,4.946638558582298,5.035988936582323,5.173555587859992,5.28952479093179,5.381287601562985,5.494538766056331,5.630580605037537,5.761576580776099,5.928067700987306,6.098062304471123,6.2997802801428175,6.473426023795972,6.641606529036927,6.851974556056188,7.014644447504935,7.258279004897668,7.450726274187754,7.745195756648489,8.008130848767472,8.34682678192277,8.419351831712394,8.606937374506469,8.753553425717286,9.067807533897629,9.304464597781498,9.440025511924985,9.631317442867408,9.8335211840136,9.94965872942339,10.05905438698575,10.253812785104346,10.33068156313125,10.495778279891594,10.656088115475532,10.739585569431643,10.885190988853433,10.958047934284876,11.082586707057223,11.210264291295111,11.370778329353746,11.564518462975387,11.773083629490609,11.984124314688373,12.175827760561083,12.397438188040297,12.596165841892958,12.81812517065862,12.852857092436382,13.099982918635769,All
3.918230069893321,4.140296979006656,4.197133225971013,4.228524423204982,4.313126656678576,4.372016832829666,4.434876608797687,4.472527970285818,4.524995339174901,4.6018146039043595,4.758685606708882,4.802036769401405,4.888995026186634,4.966227029866303,5.0927944953239335,5.2189766557013195,5.292129256341871,5.404464360055407,5.502495076481128,5.655438500871337,5.793370944992947,5.932232913650267,6.16245536940401,6.364338564110904,6.525686641070482,6.743307712695468,6.949718325561874,7.20573448801531,7.446876764358672,7.7496397214268935,8.083020245309973,8.355017357720246,8.505732840319423,8.683077792173503,8.929766502323925,9.09542896075916,9.313049183544575,9.502578789532752,9.728355330635106,9.869243608457593,10.04725284906884,10.198952620306292,10.34827787652418,10.480934686650539,10.6347288898347,10.71581250314339,10.801459724975693,10.970836214607903,11.074120843378104,11.092855492516621,11.271607250092014,11.374682012478774,11.515845139902916,11.713186652291393,11.90743668225085,12.184662643396944,12.372012479212765,12.530322562759041,12.752312205504484,12.849327639148697,13.144109776234128,All
3.9140259603762675,4.135176651305684,4.17412701429386,4.2902189666653605,4.275671314970611,4.357895331431638,4.433952676170853,4.517823979707388,4.6190996173684535,4.698465771554952,4.730446688345028,4.814640540449703,4.871701966467934,4.974434313009365,5.066143334787033,5.188062304308192,5.236308379333871,5.343153209752257,5.491389394814386,5.544280376646754,5.711565585331453,5.930142627211349,6.104092282340017,6.286418950050139,6.503574754926595,6.664457990988604,6.9143040772292945,7.131782945736434,7.3634707180619,7.668378651193204,8.059105984229173,8.337376117541064,8.489575241587174,8.633340906439392,8.853018646659013,9.077628485670617,9.25295708320303,9.495832847829954,9.70563126830976,9.900654705813515,10.015750949689615,10.153764252906292,10.278672019688512,10.366218608942866,10.429432493162002,10.556757028617412,10.749056103443486,10.8039866266566,10.948481485733236,11.099915282519959,11.230927182679332,11.305716943936604,11.567807201020825,11.734483355295557,11.994214792640678,12.202332409068667,12.492956391473454,12.607948323422189,12.774016481246806,12.965093706984787,13.225246256334339,All
3.9403016448578487,4.117767537122376,4.140117831814591,4.186415449097105,4.256463447428067,4.353188164298961,4.330472221965574,4.429043801241111,4.549853073037348,4.593107291503404,4.638028410063324,4.778509730111249,4.80994103890115,4.984283052781038,5.114599990308669,5.156355277238318,5.2479377287105375,5.365104115416348,5.526187197370175,5.568663449057308,5.735543018335684,5.916904146431532,6.153529250205987,6.348077079437353,6.5163058408882275,6.6969255234561365,6.8598710659032935,7.142810807304337,7.426987630241749,7.642984566745177,7.910585836464214,8.29453310567733,8.45415281359724,8.549832061256193,8.785480533673889,9.018702775032686,9.226590141216436,9.344355793230754,9.615963346701633,9.784864778305401,9.922480620155039,10.04729303108712,10.181721004810262,10.39240380059353,10.522692136772466,10.5944776945129,10.750950210245854,10.817309217329518,10.866210028189135,10.987600441557776,11.190892830622404,11.33564518122849,11.51979162555744,11.737810965139959,11.917527160203155,12.179905398793018,12.341776501147592,12.573293965983282,12.787319101863067,12.911446017011965,13.085036724933097,All
3.9360975353407954,4.1269841269841265,4.156122152981305,4.222648752399232,4.318889016941339,4.340008096327468,4.419169754141528,4.45440956651719,4.55873083513108,4.615746303745886,4.715043641964744,4.825563808691561,4.930992456932047,5.0154707287246705,5.135597874368044,5.200745115136142,5.294455126217206,5.41051978230757,5.529889091259088,5.569380598245853,5.657968970380818,5.867434034043798,6.082120296621807,6.327072661734016,6.50424481208247,6.657831963954412,6.891350397754474,7.179137880704485,7.468049068418621,7.722975932756464,8.047148853688775,8.38903974949439,8.465338843488798,8.619832122659757,8.90766311989243,9.050007058809086,9.322246954005015,9.482340964424356,9.657112324425912,9.893263859376829,10.03798758454554,10.231760613076151,10.325904565398432,10.444150726950797,10.575893946885817,10.659231504300156,10.672660462414607,10.880750125295794,10.981645174045587,11.106333273432085,11.254172935486578,11.346705616749404,11.594117105384322,11.70520038866483,11.976724630856681,12.340292502582505,12.535561633292561,12.625275502141639,12.881137584104069,13.146507605971836,13.337698570859194,All
