ethnicity,simulation,year,prevalence,ethnicity_label
0,1,-3,10.327868852459018,Chinese_Male
0,1,-2,10.193556216249014,Chinese_Male
0,1,-1,10.496222176842965,Chinese_Male
0,2,-61,3.489207675724589,Chinese_Male
0,2,-60,3.592721240085023,Chinese_Male
0,2,-59,3.6142440755290837,Chinese_Male
0,2,-58,3.61248355140651,Chinese_Male
0,2,-57,3.700994733762434,Chinese_Male
0,2,-56,3.7076904676474105,Chinese_Male
0,2,-55,3.7844063653244957,Chinese_Male
0,2,-54,3.7951014566356562,Chinese_Male
0,2,-53,3.8875028351100025,Chinese_Male
0,2,-52,3.9342507304235346,Chinese_Male
0,2,-51,4.095877782167786,Chinese_Male
0,2,-50,4.059630549854164,Chinese_Male
0,2,-49,4.289755205342521,Chinese_Male
0,2,-48,4.3361759139144676,Chinese_Male
0,2,-47,4.452191444232103,Chinese_Male
0,2,-46,4.66240610864423,Chinese_Male
0,2,-45,4.735723337284879,Chinese_Male
0,2,-44,4.769453027810105,Chinese_Male
0,2,-43,4.865089084660056,Chinese_Male
0,2,-42,5.0015466707911225,Chinese_Male
0,2,-41,5.265468985662193,Chinese_Male
0,2,-40,5.346036787084822,Chinese_Male
0,2,-39,5.699288289466311,Chinese_Male
0,2,-38,5.920481616221307,Chinese_Male
0,2,-37,5.939724423136745,Chinese_Male
0,2,-36,6.187697103708269,Chinese_Male
0,2,-35,6.219321430497869,Chinese_Male
0,2,-34,6.437699395797315,Chinese_Male
0,2,-33,6.633572412818429,Chinese_Male
0,2,-32,6.878260565106263,Chinese_Male
0,2,-31,7.225207366059784,Chinese_Male
0,2,-30,7.386591031686648,Chinese_Male
0,2,-29,7.577952538631346,Chinese_Male
0,2,-28,7.687170354133845,Chinese_Male
0,2,-27,7.792987512007684,Chinese_Male
0,2,-26,8.095598609725043,Chinese_Male
0,2,-25,8.222149534319211,Chinese_Male
0,2,-24,8.2624523386415,Chinese_Male
0,2,-23,8.406244044422113,Chinese_Male
0,2,-22,8.495263964340436,Chinese_Male
0,2,-21,8.486322826790808,Chinese_Male
0,2,-20,8.690992779466278,Chinese_Male
0,2,-19,8.723799416290793,Chinese_Male
0,2,-18,8.831690917499733,Chinese_Male
0,2,-17,8.755950037579185,Chinese_Male
0,2,-16,8.936515083295813,Chinese_Male
0,2,-15,9.010921229273249,Chinese_Male
0,2,-14,9.03507649564057,Chinese_Male
0,2,-13,8.88168199156056,Chinese_Male
0,2,-12,9.123511158184217,Chinese_Male
0,2,-11,9.206628922800045,Chinese_Male
0,2,-10,9.295023360508447,Chinese_Male
0,2,-9,9.47292363857621,Chinese_Male
0,2,-8,9.617151607963246,Chinese_Male
0,2,-7,9.604672230681754,Chinese_Male
0,2,-6,9.783558186935844,Chinese_Male
0,2,-5,9.90190127469601,Chinese_Male
0,2,-4,10.216393702033388,Chinese_Male
0,2,-3,10.161935225909637,Chinese_Male
0,2,-2,10.284570111036953,Chinese_Male
0,2,-1,10.52276904227078,Chinese_Male
0,3,-61,3.3614563649429114,Chinese_Male
0,3,-60,3.5797604852506613,Chinese_Male
0,3,-59,3.5179318210619694,Chinese_Male
0,3,-58,3.6323460039228346,Chinese_Male
0,3,-57,3.730251609128145,Chinese_Male
0,3,-56,3.7363951680421,Chinese_Male
0,3,-55,3.7914580542039817,Chinese_Male
0,3,-54,3.9128327062028205,Chinese_Male
0,3,-53,4.00317532320254,Chinese_Male
0,3,-52,4.074759685081517,Chinese_Male
0,3,-51,4.20782299486369,Chinese_Male
0,3,-50,4.159014799611105,Chinese_Male
0,3,-49,4.281248006125184,Chinese_Male
0,3,-48,4.276630585032856,Chinese_Male
0,3,-47,4.4206900896738555,Chinese_Male
0,3,-46,4.504710129891688,Chinese_Male
0,3,-45,4.668274537055963,Chinese_Male
0,3,-44,4.7614270235563225,Chinese_Male
0,3,-43,4.859163275787145,Chinese_Male
0,3,-42,4.9628799010130695,Chinese_Male
0,3,-41,5.099371885679376,Chinese_Male
0,3,-40,5.243955462296074,Chinese_Male
0,3,-39,5.484467524704388,Chinese_Male
0,3,-38,5.671178740928146,Chinese_Male
0,3,-37,5.835422423100148,Chinese_Male
0,3,-36,6.0644506470438975,Chinese_Male
0,3,-35,6.2534836470863215,Chinese_Male
0,3,-34,6.532161762346944,Chinese_Male
0,3,-33,6.704236300038866,Chinese_Male
0,3,-32,7.021812961731031,Chinese_Male
0,3,-31,7.178256560070947,Chinese_Male
0,3,-30,7.337869112043014,Chinese_Male
0,3,-29,7.565880242825607,Chinese_Male
0,3,-28,7.6443592026851155,Chinese_Male
0,3,-27,7.758679840812406,Chinese_Male
0,3,-26,7.902887229429781,Chinese_Male
0,3,-25,8.032778418579028,Chinese_Male
0,3,-24,8.195165714877245,Chinese_Male
0,3,-23,8.41663923491398,Chinese_Male
0,3,-22,8.51964061847054,Chinese_Male
0,3,-21,8.670085230753076,Chinese_Male
0,3,-20,8.682208675181393,Chinese_Male
0,3,-19,8.677810206067038,Chinese_Male
0,3,-18,8.671599843466506,Chinese_Male
0,3,-17,8.682581153144126,Chinese_Male
0,3,-16,8.761819000450249,Chinese_Male
0,3,-15,8.825877145241465,Chinese_Male
0,3,-14,8.938200296112157,Chinese_Male
0,3,-13,8.942490187768339,Chinese_Male
0,3,-12,9.13466005165654,Chinese_Male
0,3,-11,9.0810243335458,Chinese_Male
0,3,-10,9.242060264437173,Chinese_Male
0,3,-9,9.199117736537875,Chinese_Male
0,3,-8,9.45635528330781,Chinese_Male
0,3,-7,9.64322198878202,Chinese_Male
0,3,-6,9.754440454236631,Chinese_Male
0,3,-5,9.882320690802999,Chinese_Male
0,3,-4,10.101669435873092,Chinese_Male
0,3,-3,10.089964014394242,Chinese_Male
0,3,-2,10.284570111036953,Chinese_Male
0,3,-1,10.27159485399224,Chinese_Male
0,4,-61,3.3587948793016262,Chinese_Male
0,4,-60,3.6160505987868734,Chinese_Male
0,4,-59,3.631985806615131,Chinese_Male
0,4,-58,3.627380390793753,Chinese_Male
0,4,-57,3.64004291008387,Chinese_Male
0,4,-56,3.686161942351393,Chinese_Male
0,4,-55,3.7844063653244957,Chinese_Male
0,4,-54,3.843579029986842,Chinese_Male
0,4,-53,3.96234973916988,Chinese_Male
0,4,-52,4.1082141980953235,Chinese_Male
0,4,-51,4.065147723780675,Chinese_Male
0,4,-50,4.12228583774441,Chinese_Male
0,4,-49,4.236585210234161,Chinese_Male
0,4,-48,4.308529868362291,Chinese_Male
0,4,-47,4.462691895751517,Chinese_Male
0,4,-46,4.508860024069386,Chinese_Male
0,4,-45,4.674406246167682,Chinese_Male
0,4,-44,4.905895100124403,Chinese_Male
0,4,-43,4.946075139256508,Chinese_Male
0,4,-42,5.0208800556801485,Chinese_Male
0,4,-41,5.164283396017487,Chinese_Male
0,4,-40,5.393296659672205,Chinese_Male
0,4,-39,5.626436030112267,Chinese_Male
0,4,-38,5.77089989104541,Chinese_Male
0,4,-37,6.056835440721697,Chinese_Male
0,4,-36,6.222133613658607,Chinese_Male
0,4,-35,6.3973245590377035,Chinese_Male
0,4,-34,6.6551410697417435,Chinese_Male
0,4,-33,6.822598311133095,Chinese_Male
0,4,-32,6.974545709183852,Chinese_Male
0,4,-31,7.2234684473194575,Chinese_Male
0,4,-30,7.654561589726636,Chinese_Male
0,4,-29,7.741790838852097,Chinese_Male
0,4,-28,7.832728269059524,Chinese_Male
0,4,-27,7.995402772059832,Chinese_Male
0,4,-26,8.197116211844866,Chinese_Male
0,4,-25,8.32888598137277,Chinese_Male
0,4,-24,8.497092872793775,Chinese_Male
0,4,-23,8.608950259013497,Chinese_Male
0,4,-22,8.617147234990947,Chinese_Male
0,4,-21,8.908101296837536,Chinese_Male
0,4,-20,8.864918044307021,Chinese_Male
0,4,-19,9.012116388078182,Chinese_Male
0,4,-18,8.897506136824504,Chinese_Male
0,4,-17,8.924161626283954,Chinese_Male
0,4,-16,8.89869428185502,Chinese_Male
0,4,-15,9.019992017706178,Chinese_Male
0,4,-14,9.177649015701256,Chinese_Male
0,4,-13,9.137813484678176,Chinese_Male
0,4,-12,9.378077559135589,Chinese_Male
0,4,-11,9.399722545086425,Chinese_Male
0,4,-10,9.416081865814213,Chinese_Male
0,4,-9,9.533769394584727,Chinese_Male
0,4,-8,9.684150076569678,Chinese_Male
0,4,-7,9.760798750987837,Chinese_Male
0,4,-6,9.843734834514219,Chinese_Male
0,4,-5,10.164281098862368,Chinese_Male
0,4,-4,10.162987578131181,Chinese_Male
0,4,-3,10.22391043582567,Chinese_Male
0,4,-2,10.422102218716502,Chinese_Male
0,4,-1,10.54931590769859,Chinese_Male
0,5,-61,3.3401644798126315,Chinese_Male
0,5,-60,3.5667997304162995,Chinese_Male
