albu,year,sim,overall,male,female,chinese,malay,indian,"(18, 29)","(30, 39)","(40, 49)","(50, 59)","(60, 69)","(70, 79)","(80, 200)"
0,1990,0,0.048481690371096946,0.045797643995035706,0.05118942550440262,0.04695921928520649,0.05485632866302541,0.052738043635312815,0.008721493636539828,0.017789991321955453,0.028308690948431303,0.06198385450496428,0.1793400286944046,0.32643051771117165,0.32917705735660846
0,1991,0,0.010967029248728642,0.011315136476426799,0.010617067134988426,0.00996013431090207,0.01380058923864165,0.01612218922358931,0.0017836295239330652,0.0028670326212370196,0.003299203640500569,0.019985787884171255,0.04598499583217561,0.07638136511375948,0.05235204855842185
0,1992,0,0.007180264474694183,0.008003263466656306,0.006356673535243575,0.006480276884557795,0.008663930688554491,0.011873533066408946,0.001339256549291174,0.0014315904287954188,0.0026529421128030986,0.012774832710524028,0.032236309684380904,0.046296296296296294,0.03166783954961295
0,1993,0,0.006626987145356355,0.007635622750728335,0.005621071421789248,0.005666742703468479,0.009029850746268657,0.012844780962682531,0.001588825262321671,0.0019377902509104274,0.003256686075199842,0.011639849366655255,0.02698474775127102,0.034403080872913994,0.03162055335968379
0,1994,0,0.006095344610652873,0.006585963664939099,0.005608379141286584,0.005695658825329207,0.007125018363449391,0.008849557522123894,0.001282483968950388,0.0013468234675776886,0.0026310930576070903,0.011743149829266261,0.028912633563796353,0.030614805520702636,0.015508684863523574
0,1995,0,0.006228367382350524,0.006942403761387011,0.005522152186154657,0.005545243886973865,0.007956024880659628,0.010824742268041237,0.001127896643653018,0.0023708226429800918,0.0023507287259050304,0.01294255177020708,0.025582512611097764,0.029426189308484552,0.01972504482964734
0,1996,0,0.006432077973268355,0.0072304363505229,0.005643782936903575,0.005804612007513182,0.009342461845671089,0.008245877061469266,0.001670843776106934,0.0019288263091908574,0.002608137388652596,0.011675658265560834,0.028150765606595997,0.03108076289145279,0.016909620991253645
0,1997,0,0.006162489575560725,0.006900212314225053,0.005436013590033975,0.005271569040907376,0.00962416578854935,0.009398722737679239,0.001333099456235748,0.0018633939471824198,0.003167246040942449,0.011407963494516818,0.025317932563294832,0.02932616968882919,0.011871113623516111
0,1998,0,0.005770653090008428,0.006492830110065623,0.005061694730383802,0.00511876626841939,0.00787619179217908,0.008925466558479193,0.001552685440045169,0.0018608829568788501,0.0028998438545616775,0.01081377044692355,0.023991774248828972,0.02278534923339012,0.008820286659316428
0,1999,0,0.006038168647062296,0.0068844469437486155,0.005209028983571524,0.005637991719533983,0.0075911617188559035,0.007973048848961257,0.0018012290739563466,0.0018412636883418936,0.0026925148088314485,0.010779061511650423,0.023682200152788387,0.026081682167408006,0.010804970286331712
0,2000,0,0.005773404237695277,0.006646687538716537,0.004918274669246029,0.0051221641406438995,0.007519297311684855,0.009244992295839754,0.0013114521674405415,0.0017947462881383587,0.002923671295812885,0.00997688283246137,0.022720166753517457,0.02405696689761355,0.007337526205450734
0,2001,0,0.005605791025859758,0.00649649682576231,0.004736292847395039,0.0050104858621651495,0.007744874715261959,0.008280460264544575,0.0012076865698149397,0.001443759023493897,0.0031031807602792862,0.010262915129151291,0.02078981398587486,0.021694789541998886,0.007916872835230085
0,2002,0,0.0060339619041562,0.007301505431804261,0.004800301195369121,0.005485368969642894,0.00833386347732044,0.007864238410596027,0.0012063582174283282,0.001573925304128275,0.003222624136797106,0.010592536831917411,0.024806201550387597,0.01938122332859175,0.00788863109048724
0,2003,0,0.006231639625943258,0.00745752905061155,0.0050412036458983645,0.005828071879553181,0.007766017410910002,0.008005822416302766,0.0009436016549321332,0.0021032951624211263,0.00335548605681522,0.00974025974025974,0.024355300859598854,0.023268112109994712,0.007165248544558889
0,2004,0,0.006325568367489846,0.00742331869728654,0.005259768140832975,0.005898674544873842,0.008691926302258677,0.007339634023728132,0.0013859508352177402,0.0015480918085750825,0.003328745639023141,0.012262940253814344,0.02317850217009881,0.017382583987965904,0.0052173913043478265
0,2005,0,0.006382005337399924,0.007225970167729158,0.005562069691229969,0.006153997636864908,0.007720390208869472,0.0062911066628538745,0.001306003990567749,0.001820818019354621,0.003478590854468408,0.010474430067775724,0.022199705232129698,0.021769995267392334,0.008371703641691083
0,2006,0,0.006972794183378528,0.008352752474048966,0.005634629493763757,0.006435255523191113,0.009522140436966935,0.008733624454148471,0.0011365654413070503,0.0017564007295818415,0.003755750993709117,0.01198198570425154,0.025531536340183257,0.020976879497779818,0.007061592781482934
0,2007,0,0.0068226404127007196,0.008089874370746541,0.005594425605585841,0.006696195688256998,0.00782186697116757,0.007419692737430168,0.0013823610727121925,0.0016412661195779601,0.003189094547273637,0.012204333134565693,0.02319169639961077,0.01866228724992535,0.011235955056179775
