,K1,K2,K3a,K3b,K4,K5,Total_CKD,Total_Population
1990,1922.9999999999995,1119.5,778.5000000000001,173.29999999999995,28.999999999999996,11.399999999999999,4034.6999999999994,95136.3
1991,2098.5,1231.9,812.4999999999999,183.8,30.4,11.0,4368.099999999999,97633.00000000001
1992,2141.4,1279.6,832.6999999999998,196.20000000000005,32.6,11.2,4493.7,99949.9
1993,2170.7999999999997,1310.5999999999997,868.9000000000001,203.39999999999998,35.3,13.899999999999999,4602.899999999999,102085.7
1994,2217.1,1353.2,899.4000000000001,205.5,40.0,16.8,4732.000000000001,104089.4
1995,2267.4000000000005,1387.3,926.5,209.0,46.7,20.6,4857.500000000001,106183.3
1996,2301.5,1417.6,981.6999999999999,215.2,48.400000000000006,27.1,4991.5,108191.79999999999
1997,2348.2,1457.4000000000003,1020.7000000000002,225.2,45.2,30.0,5126.7,110339.89999999998
1998,2405.8,1505.3999999999999,1069.3999999999999,234.2,42.300000000000004,34.1,5291.2,112588.79999999999
1999,2463.9000000000005,1540.2,1118.0000000000002,244.4,44.699999999999996,35.4,5446.599999999999,114791.29999999999
2000,2522.4,1575.6999999999998,1187.8000000000002,256.2,44.300000000000004,36.20000000000001,5622.6,116803.39999999998
2001,2575.6000000000004,1619.3,1245.3000000000002,273.5,45.50000000000001,37.70000000000001,5796.900000000001,118953.9
2002,2636.1000000000004,1682.2,1290.4,278.70000000000005,47.10000000000001,41.5,5976.000000000001,121376.79999999999
2003,2670.5,1734.0,1334.0000000000002,295.09999999999997,50.2,41.80000000000001,6125.6,121780.69999999998
2004,2729.7,1785.5,1395.3,301.5,55.199999999999996,45.400000000000006,6312.599999999999,123760.39999999998
2005,2790.5,1851.7000000000003,1459.0,317.79999999999995,57.5,49.60000000000001,6526.100000000001,126092.29999999999
2006,2860.1000000000004,1922.5,1548.8,338.4,60.400000000000006,51.80000000000001,6782.0,128918.5
2007,2935.5999999999995,1993.6,1636.5,352.1,60.79999999999999,51.8,7030.4,132042.6
2008,3018.8,2075.1000000000004,1725.4999999999998,373.4,64.1,56.20000000000001,7313.1,134996.99999999997
2009,3109.7999999999997,2157.1,1823.0,395.1000000000001,69.6,54.9,7609.5,139369.3
2010,3204.3,2234.3,1910.6999999999998,411.0,72.4,55.70000000000001,7888.4,141727.5
2011,3299.5,2330.6000000000004,2019.1000000000004,440.90000000000003,78.8,58.800000000000004,8227.7,143443.8
2012,3395.8999999999996,2450.5000000000005,2161.5000000000005,474.6,83.10000000000001,63.99999999999999,8629.6,145558.69999999998
2013,3485.2999999999997,2562.4,2288.8000000000006,514.7,90.6,67.3,9009.1,147508.3
2014,3572.8,2664.4,2399.7,539.3999999999999,94.7,73.99999999999999,9345.000000000002,149161.1
2015,3674.2000000000003,2758.1000000000004,2518.7999999999997,562.9999999999999,97.10000000000001,79.49999999999999,9690.7,150841.9
2016,3778.0000000000005,2893.7,2608.2000000000003,596.5999999999999,105.7,80.60000000000001,10062.800000000003,152400.4
2017,3927.2000000000003,3040.2999999999997,2764.2,646.8,110.39999999999999,87.6,10576.5,154071.6
2018,4095.8,3213.0,2937.8,702.8,116.9,98.7,11165.0,155773.59999999998
2019,4296.6,3383.5,3093.5999999999995,752.9,128.89999999999998,110.20000000000002,11765.7,157422.6
2020,4583.200000000001,3620.5999999999995,3297.5,817.9000000000001,144.8,118.09999999999998,12582.099999999999,158798.6
2021,4913.999999999999,3856.7,3462.3,872.8000000000001,153.70000000000002,127.60000000000001,13387.1,158605.9
2022,5345.999999999999,4068.7999999999997,3574.6000000000004,906.1999999999999,156.40000000000003,131.70000000000002,14183.7,160797.5
2023,5910.7,4338.8,3676.7,945.9999999999999,161.90000000000003,137.60000000000002,15171.7,162731.5
2024,6527.099999999999,4648.5,3811.7000000000003,988.9999999999999,169.3,141.79999999999995,16287.399999999998,163032.0
2025,7188.200000000001,4969.5,3928.8000000000006,1036.2,176.29999999999998,150.40000000000003,17449.4,163205.19999999998
2026,7878.0,5331.8,4040.6999999999994,1076.0,190.89999999999998,154.20000000000002,18671.600000000002,163577.9
2027,8548.199999999999,5675.6,4132.2,1114.7,205.8,160.30000000000004,19836.8,163651.8
2028,9187.199999999999,6022.1,4230.799999999999,1151.0,221.79999999999998,165.69999999999996,20978.6,163582.89999999997
2029,9792.6,6345.2,4287.1,1167.0000000000002,227.8,172.79999999999998,21992.5,163209.7
2030,10379.7,6656.6,4359.8,1198.7,230.5,177.9,23003.200000000004,162844.69999999998
2031,10960.7,6921.299999999999,4430.7,1221.7,233.1,190.29999999999998,23957.8,162521.0
2032,11469.3,7180.7,4462.7,1248.2,241.60000000000002,197.5,24800.0,161909.90000000005
2033,11952.799999999997,7446.5,4481.6,1264.0,249.10000000000002,202.0,25595.999999999993,161355.69999999998
2034,12382.6,7716.299999999999,4475.2,1284.7,245.09999999999997,203.4,26307.300000000003,160707.5
2035,12816.5,7961.4000000000015,4511.2,1291.5,257.8,205.70000000000002,27044.100000000002,159995.4
2036,13220.3,8192.3,4549.0,1303.0,266.5,211.0,27742.1,159163.3
2037,13599.4,8387.3,4589.1,1307.0,285.0,214.3,28382.099999999995,158363.49999999997
2038,13905.800000000001,8638.900000000001,4599.9,1325.6999999999998,282.3,220.6,28973.200000000004,157508.10000000003
2039,14196.800000000001,8870.2,4601.0,1344.3999999999999,287.20000000000005,229.00000000000003,29528.600000000002,156518.1
2040,14486.299999999997,9106.1,4633.3,1350.1000000000004,290.59999999999997,240.2,30106.599999999995,155496.7
2041,14722.300000000001,9300.699999999999,4646.700000000001,1358.8000000000002,310.79999999999995,245.5,30584.8,154322.80000000002
2042,14948.0,9528.1,4697.6,1376.1000000000001,319.79999999999995,260.9,31130.499999999996,153785.60000000003
2043,15146.800000000001,9741.0,4759.699999999999,1400.6999999999998,322.7000000000001,270.99999999999994,31641.9,153018.6
2044,15362.0,9938.0,4813.699999999999,1426.3,338.09999999999997,290.90000000000003,32168.999999999996,152339.3
2045,15524.699999999999,10167.999999999998,4866.699999999999,1455.3999999999999,340.80000000000007,310.7,32666.299999999996,151524.0
2046,15679.0,10372.4,4933.0,1474.9,355.99999999999994,329.2,33144.5,150436.50000000003
2047,15793.599999999999,10538.5,4955.9,1488.9,351.79999999999995,345.1000000000001,33473.8,149314.20000000004
2048,15855.6,10686.900000000001,4966.099999999999,1493.1999999999996,361.7,355.5,33718.99999999999,147989.8
2049,15927.999999999998,10844.099999999999,4991.1,1490.8000000000002,366.1,371.40000000000003,33991.5,146630.0
2050,15951.400000000001,10975.1,5027.400000000001,1525.9,378.49999999999994,387.59999999999997,34245.9,145463.69999999998
