,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
G1,113742.2,114543.09999999999,115359.6,116045.8,116696.4,117349.29999999999,118043.4,118281.90000000002,117252.29999999999,118675.9,119833.09999999998
G2,30804.7,31510.199999999997,32223.899999999998,32963.5,33766.2,34568.1,35293.59999999999,36138.399999999994,36737.200000000004,37352.7,37976.2
G3a,2288.8000000000006,2399.7,2518.7999999999997,2608.2000000000003,2764.2,2937.8,3093.5999999999995,3297.5,3462.3,3574.6000000000004,3676.7
G3b,514.7,539.3999999999999,562.9999999999999,596.5999999999999,646.8,702.8,752.9,817.9000000000001,872.8000000000001,906.1999999999999,945.9999999999999
G4,90.6,94.7,97.10000000000001,105.7,110.39999999999999,116.9,128.89999999999998,144.8,153.70000000000002,156.40000000000003,161.90000000000003
G5,67.3,73.99999999999999,79.49999999999999,80.60000000000001,87.6,98.7,110.20000000000002,118.09999999999998,127.60000000000001,131.70000000000002,137.60000000000002
Total,147508.3,149161.1,150841.9,152400.40000000002,154071.59999999998,155773.59999999998,157422.6,158798.6,158605.9,160797.5,162731.5
