,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
G1,112254.29999999999,113027.90000000001,113815.79999999999,114472.3,115065.50000000001,115656.2,116308.79999999999,116506.79999999999,115403.00000000003,116772.1,117903.39999999998
G2,31623.800000000003,32317.8,33028.3,33739.2,34556.49999999999,35392.6,36119.50000000001,36952.9,37575.2,38208.3,38815.700000000004
G3a,2362.6,2474.9999999999995,2590.7,2722.0000000000005,2873.2999999999997,3041.8999999999996,3218.2000000000003,3417.0,3578.9999999999995,3699.8,3799.9000000000005
G3b,691.0,730.2,771.0,810.8000000000001,868.7,923.0999999999999,966.0000000000001,1039.0,1110.4,1154.3000000000004,1200.8999999999999
G4,214.79999999999998,226.20000000000002,238.50000000000003,238.8,258.40000000000003,280.5,305.2,323.1,335.4,343.69999999999993,367.9
G5,239.0,259.00000000000006,272.70000000000005,292.0,308.1,331.0,348.1,384.6,407.5,420.1,431.7
Total,147385.49999999997,149036.10000000003,150717.0,152275.09999999998,153930.5,155625.3,157265.80000000002,158623.4,158410.5,160598.30000000002,162519.49999999997
