Year,K1,K2,K3,K4,K5
1990,8.628801846708868,3.6220427745202954,1.1951889702033185,0.06759072188572858,0.02196961255694755
1991,9.083999414074304,3.811897364666017,1.2064742740718661,0.07088471707061737,0.029603588487584414
1992,9.084641148468997,3.841439068640157,1.1971224231046729,0.08325719769481633,0.03762584895823431
1993,9.122583894360076,3.8823279270310875,1.2058604799730355,0.09435635347477314,0.045855424118581345
1994,9.160435192508585,3.93522278100737,1.2051307432312304,0.10936513443358374,0.0525683027549827
1995,9.189661230745752,3.9834425949983,1.212601941180516,0.11662532653678362,0.06434175930906558
1996,9.21398013800398,4.046088854740778,1.237190991185904,0.11242988156954332,0.07110080503863389
1997,9.250451933659583,4.108652648412838,1.2582522088994215,0.10035918980125798,0.08630709005492104
1998,9.244232793890959,4.176465623320259,1.2983043769907026,0.09000084403555611,0.09870773714067407
1999,9.243245645605873,4.2511714402985925,1.3377556275756655,0.09193747554506723,0.09690471356029837
2000,9.261336969294176,4.324612280275028,1.3779594996899616,0.09129870263344514,0.10328915138455427
2001,9.29286779292708,4.390279591666828,1.4177627789125968,0.09956884336155852,0.10528732423029669
2002,9.292888001727437,4.4534259468351465,1.452910023257769,0.09659144292121534,0.10466820180029307
2003,9.328360967475634,4.558996874473772,1.4943383207586691,0.1009532649633028,0.11171394658266218
2004,9.330320084901182,4.64604434357175,1.5375003132064826,0.10467158582706314,0.11412840091723024
2005,9.332975805805432,4.719839366478145,1.5873746240605977,0.10646492805684055,0.11685755516224001
2006,9.280122281449069,4.77696825803248,1.6377644840669452,0.1109533452821552,0.12460914162457425
2007,9.221273288396596,4.824411890812512,1.686339746590732,0.11453868635035201,0.12529562647055703
2008,9.181806663006242,4.894518332121836,1.7295125636220692,0.11611097156059222,0.13256064334518156
2009,9.068130842798444,4.913100428845706,1.7699305592937506,0.11584217042579534,0.13665643896574622
2010,9.07676172838809,4.980012760215229,1.8274350273554174,0.11793318389954437,0.14171743463212752
2011,9.134567444104851,5.107355364351367,1.9112051093775826,0.12377368174055782,0.1488770763470935
2012,9.167129941087989,5.226285217159457,1.99681010650616,0.13214487696370522,0.1594259566072782
2013,9.187655124710092,5.340426686197122,2.0888771344481962,0.14681748518262333,0.16390663357339516
2014,9.222700980803088,5.43267667029927,2.16856400368849,0.15270349568278985,0.1752368178388801
2015,9.261288050708192,5.524158411376715,2.247530044657482,0.15902679316304158,0.18256912492821245
2016,9.323347751603185,5.623190879076881,2.3366129974467196,0.15792271894875715,0.19330108366753526
2017,9.376146419664428,5.764612001264836,2.4474700364451882,0.16933734427359928,0.20180232592114516
2018,9.473399613008214,5.918610991054748,2.5657953464655368,0.1816151287714199,0.21456016450682944
2019,9.58862672003955,6.049887422525534,2.67993490016097,0.19522325800418533,0.22312137332444493
2020,9.799506436673127,6.252390165779062,2.8297042715215723,0.20532587213093478,0.24426155454177179
2021,10.117782576303819,6.507722325573474,2.983770594287567,0.21328417893161095,0.2593348889641682
2022,10.39076757850539,6.6382763193018075,3.0462585533491926,0.21541653107206124,0.26326613026166706
2023,10.79226883832748,6.825790624106542,3.103286081879975,0.22761858208748745,0.2680759097518761
2024,11.372030820181646,7.104059234454575,3.1993675897090927,0.2351898519752388,0.28324665106099345
2025,11.96917683283864,7.3987986371392465,3.2934166615061726,0.24586429884836178,0.2930751492506657
2026,12.558466170675342,7.693921720480626,3.385134697003621,0.25062610646807437,0.3034796471047394
2027,13.145903347470684,8.00497008653625,3.4679928383792413,0.25761533682609095,0.3081844997872059
2028,13.722315072884369,8.320099055207129,3.562059995937953,0.26140248274241973,0.3187238322227958
2029,14.293475028496209,8.584239928531092,3.6344539489698744,0.2702770646488268,0.32447963387513423
2030,14.816116711885968,8.879247567222105,3.7018783165514932,0.2737124789906929,0.3304952204786589
2031,15.324358957780278,9.15572271925919,3.7709126534754307,0.28011825436264615,0.3323363857540563
2032,15.799828173384183,9.419683418731571,3.820608068433967,0.290621851648114,0.34643459772175217
2033,16.25552980372725,9.660326011117595,3.868893493483934,0.29639065764739375,0.35468888283855315
2034,16.68803340308914,9.894905543251609,3.89582330632553,0.30322294233347175,0.362186417978194
2035,17.104127525761083,10.140944785368163,3.9382109468617665,0.30570558700726236,0.36643392681578374
2036,17.49950175125788,10.380988965597886,3.997935332657266,0.3132208496194134,0.3686097634120074
2037,17.8562153452443,10.627805949165126,4.042336066221189,0.3228283019762097,0.37420027486848967
2038,18.197469718319702,10.85680669151122,4.094776926331625,0.3269900524378452,0.38092721088348935
2039,18.514670567565425,11.107140025727519,4.137629436782167,0.3398155086299713,0.38354717521565335
2040,18.847574552428025,11.351532234191799,4.195850547640193,0.3467958865850677,0.3886893959869751
2041,19.1226131748082,11.593836401645424,4.254786618735637,0.35792651613003623,0.4025376471259538
2042,19.352611612517002,11.802588512418742,4.312625667788052,0.3629643607779853,0.4168428998106442
2043,19.579292787605443,12.052286607197157,4.377489476434211,0.3763437695978321,0.431994255771204
2044,19.774076244176854,12.276500093275496,4.463166689876061,0.38512269011779,0.4514665272351304
2045,19.966237725511125,12.528960792964345,4.538489785458974,0.39996935505601944,0.46819398249539657
2046,20.160785459054857,12.757988212525802,4.629367828671144,0.40974745213459196,0.48632146048122527
2047,20.344122634743382,12.975648665133955,4.694653162724293,0.4214061169909713,0.5013707261161866
2048,20.506964643537522,13.207631385496416,4.74631817637722,0.4323441873613208,0.5210041638403903
2049,20.684773869278136,13.40744755058609,4.821769595243002,0.44508117390586205,0.5410456165544806
2050,20.82182356077676,13.621218115206663,4.892137807667831,0.45951942757873393,0.5636147852560245
