stage,ethnicity,age_group,year,prevalence,lower,upper
K2,overall,51-60,1991,2.58,2.22,2.95
K3a,overall,51-60,1991,1.04,0.93,1.15
K3b,overall,51-60,1991,0.35,0.26,0.43
K4,overall,51-60,1991,0.04,0.03,0.06
K5,overall,51-60,1991,0.0,0.0,0.01
K1,overall,61-70,1991,9.67,7.68,11.66
K2,overall,61-70,1991,7.61,6.82,8.4
K3a,overall,61-70,1991,3.46,3.22,3.71
K3b,overall,61-70,1991,2.11,1.73,2.49
K4,overall,61-70,1991,0.4,0.22,0.58
K5,overall,61-70,1991,0.08,0.03,0.13
K1,overall,71-80,1991,10.28,8.56,12.0
K2,overall,71-80,1991,13.44,12.5,14.38
K3a,overall,71-80,1991,6.72,6.23,7.22
K3b,overall,71-80,1991,6.83,6.41,7.26
K4,overall,71-80,1991,1.79,1.44,2.14
K5,overall,71-80,1991,0.62,0.36,0.87
K1,overall,80+,1991,17.85,14.72,20.97
K2,overall,80+,1991,13.93,12.7,15.17
K3a,overall,80+,1991,4.54,4.25,4.83
K3b,overall,80+,1991,4.99,4.04,5.94
K4,overall,80+,1991,1.35,1.01,1.7
K5,overall,80+,1991,0.7,0.43,0.96
K1,overall,Overall,1992,3.68,2.58,4.79
K2,overall,Overall,1992,1.68,1.47,1.89
K3a,overall,Overall,1992,0.68,0.64,0.71
K3b,overall,Overall,1992,0.49,0.42,0.56
K4,overall,Overall,1992,0.11,0.08,0.14
K5,overall,Overall,1992,0.04,0.02,0.05
K1,chn,Overall,1992,2.97,2.06,3.88
K2,chn,Overall,1992,1.71,1.47,1.95
K3a,chn,Overall,1992,0.76,0.73,0.79
K3b,chn,Overall,1992,0.51,0.43,0.6
K4,chn,Overall,1992,0.12,0.08,0.16
K5,chn,Overall,1992,0.04,0.02,0.06
K1,mal,Overall,1992,4.34,3.1,5.58
K2,mal,Overall,1992,1.5,1.38,1.61
K3a,mal,Overall,1992,0.55,0.51,0.58
K3b,mal,Overall,1992,0.48,0.43,0.54
K4,mal,Overall,1992,0.1,0.08,0.12
K5,mal,Overall,1992,0.03,0.02,0.05
K1,ind,Overall,1992,3.44,2.28,4.6
K2,ind,Overall,1992,2.67,2.12,3.21
K3a,ind,Overall,1992,1.14,1.12,1.15
K3b,ind,Overall,1992,0.6,0.5,0.7
K4,ind,Overall,1992,0.17,0.13,0.21
K5,ind,Overall,1992,0.05,0.02,0.08
K1,overall,18-30,1992,1.27,0.81,1.73
K2,overall,18-30,1992,0.11,0.08,0.13
K3a,overall,18-30,1992,0.03,0.03,0.03
K3b,overall,18-30,1992,0.0,0.0,0.0
K4,overall,18-30,1992,0.0,0.0,0.0
K5,overall,18-30,1992,0.0,0.0,0.0
K1,overall,31-40,1992,2.83,1.81,3.85
K2,overall,31-40,1992,0.35,0.27,0.44
K3a,overall,31-40,1992,0.07,0.07,0.07
K3b,overall,31-40,1992,0.0,0.0,0.01
K4,overall,31-40,1992,0.0,0.0,0.0
K5,overall,31-40,1992,0.0,0.0,0.0
K1,overall,41-50,1992,3.91,2.29,5.53
K2,overall,41-50,1992,0.81,0.57,1.05
K3a,overall,41-50,1992,0.2,0.18,0.22
K3b,overall,41-50,1992,0.04,0.02,0.05
K4,overall,41-50,1992,0.0,0.0,0.0
K5,overall,41-50,1992,0.0,0.0,0.0
K1,overall,51-60,1992,5.71,4.04,7.37
K2,overall,51-60,1992,2.51,2.16,2.85
K3a,overall,51-60,1992,1.01,0.93,1.09
K3b,overall,51-60,1992,0.36,0.25,0.47
K4,overall,51-60,1992,0.06,0.04,0.08
K5,overall,51-60,1992,0.01,0.0,0.01
K1,overall,61-70,1992,9.62,7.77,11.47
K2,overall,61-70,1992,7.72,6.84,8.59
K3a,overall,61-70,1992,3.43,3.3,3.56
K3b,overall,61-70,1992,2.22,1.81,2.63
K4,overall,61-70,1992,0.45,0.27,0.63
K5,overall,61-70,1992,0.1,0.05,0.16
