stage,ethnicity,age_group,year,prevalence,lower,upper
K3a,ind,Overall,1998,1.35,1.29,1.41
K3b,ind,Overall,1998,0.64,0.6,0.68
K4,ind,Overall,1998,0.21,0.17,0.24
K5,ind,Overall,1998,0.23,0.12,0.34
K1,overall,18-30,1998,1.14,0.71,1.57
K2,overall,18-30,1998,0.09,0.06,0.12
K3a,overall,18-30,1998,0.03,0.03,0.03
K3b,overall,18-30,1998,0.0,0.0,0.0
K4,overall,18-30,1998,0.0,0.0,0.0
K5,overall,18-30,1998,0.0,0.0,0.0
K1,overall,31-40,1998,2.69,1.68,3.71
K2,overall,31-40,1998,0.36,0.28,0.45
K3a,overall,31-40,1998,0.08,0.08,0.07
K3b,overall,31-40,1998,0.0,0.0,0.01
K4,overall,31-40,1998,0.0,0.0,0.0
K5,overall,31-40,1998,0.0,0.0,0.0
K1,overall,41-50,1998,3.89,2.35,5.42
K2,overall,41-50,1998,0.85,0.63,1.08
K3a,overall,41-50,1998,0.26,0.23,0.28
K3b,overall,41-50,1998,0.04,0.04,0.05
K4,overall,41-50,1998,0.01,0.0,0.01
K5,overall,41-50,1998,0.0,0.0,0.0
K1,overall,51-60,1998,5.61,3.68,7.53
K2,overall,51-60,1998,2.43,2.02,2.83
K3a,overall,51-60,1998,1.02,0.9,1.14
K3b,overall,51-60,1998,0.36,0.28,0.44
K4,overall,51-60,1998,0.08,0.05,0.11
K5,overall,51-60,1998,0.04,0.01,0.08
K1,overall,61-70,1998,9.22,7.45,11.0
K2,overall,61-70,1998,7.61,6.8,8.42
K3a,overall,61-70,1998,3.53,3.41,3.65
K3b,overall,61-70,1998,2.08,1.78,2.37
K4,overall,61-70,1998,0.47,0.32,0.62
K5,overall,61-70,1998,0.37,0.13,0.6
K1,overall,71-80,1998,9.75,8.01,11.49
K2,overall,71-80,1998,13.33,12.15,14.51
K3a,overall,71-80,1998,6.84,6.69,6.99
K3b,overall,71-80,1998,5.87,5.62,6.13
K4,overall,71-80,1998,1.47,1.18,1.76
K5,overall,71-80,1998,1.11,0.64,1.59
K1,overall,80+,1998,11.99,9.49,14.49
K2,overall,80+,1998,16.7,15.04,18.35
K3a,overall,80+,1998,7.41,6.95,7.86
K3b,overall,80+,1998,8.3,8.16,8.43
K4,overall,80+,1998,2.03,1.83,2.24
K5,overall,80+,1998,1.19,0.89,1.48
K1,overall,Overall,1999,3.73,2.54,4.92
K2,overall,Overall,1999,1.84,1.6,2.09
K3a,overall,Overall,1999,0.82,0.78,0.85
K3b,overall,Overall,1999,0.52,0.48,0.56
K4,overall,Overall,1999,0.12,0.09,0.15
K5,overall,Overall,1999,0.08,0.05,0.12
K1,chn,Overall,1999,2.96,1.95,3.97
K2,chn,Overall,1999,1.88,1.58,2.19
K3a,chn,Overall,1999,0.94,0.9,0.97
K3b,chn,Overall,1999,0.56,0.51,0.6
K4,chn,Overall,1999,0.14,0.11,0.17
K5,chn,Overall,1999,0.08,0.04,0.12
K1,mal,Overall,1999,4.39,3.07,5.71
K2,mal,Overall,1999,1.59,1.46,1.73
K3a,mal,Overall,1999,0.63,0.61,0.64
K3b,mal,Overall,1999,0.49,0.46,0.53
K4,mal,Overall,1999,0.09,0.07,0.12
K5,mal,Overall,1999,0.06,0.03,0.09
K1,ind,Overall,1999,3.57,2.38,4.75
K2,ind,Overall,1999,3.05,2.42,3.67
K3a,ind,Overall,1999,1.39,1.3,1.49
K3b,ind,Overall,1999,0.66,0.63,0.68
K4,ind,Overall,1999,0.22,0.17,0.26
K5,ind,Overall,1999,0.22,0.13,0.31
K1,overall,18-30,1999,1.11,0.7,1.53
K2,overall,18-30,1999,0.08,0.06,0.11
K3a,overall,18-30,1999,0.03,0.03,0.03
K3b,overall,18-30,1999,0.0,0.0,0.0
K4,overall,18-30,1999,0.0,0.0,0.0
K5,overall,18-30,1999,0.0,0.0,0.0
K1,overall,31-40,1999,2.71,1.65,3.77
K2,overall,31-40,1999,0.36,0.27,0.46
K3a,overall,31-40,1999,0.08,0.08,0.08
K3b,overall,31-40,1999,0.0,0.0,0.0
K4,overall,31-40,1999,0.0,0.0,0.0
K5,overall,31-40,1999,0.0,0.0,0.0
K1,overall,41-50,1999,3.86,2.35,5.38
K2,overall,41-50,1999,0.86,0.64,1.07
K3a,overall,41-50,1999,0.26,0.24,0.28
K3b,overall,41-50,1999,0.05,0.04,0.05
K4,overall,41-50,1999,0.01,0.0,0.01
K5,overall,41-50,1999,0.0,0.0,0.0
K1,overall,51-60,1999,5.44,3.55,7.33
K2,overall,51-60,1999,2.36,1.91,2.82
K3a,overall,51-60,1999,1.04,0.92,1.15
K3b,overall,51-60,1999,0.36,0.29,0.44
K4,overall,51-60,1999,0.07,0.04,0.1
K5,overall,51-60,1999,0.05,0.01,0.08
K1,overall,61-70,1999,9.22,7.51,10.92
K2,overall,61-70,1999,7.61,6.85,8.37
K3a,overall,61-70,1999,3.56,3.47,3.65
K3b,overall,61-70,1999,2.08,1.78,2.38
K4,overall,61-70,1999,0.48,0.32,0.64
K5,overall,61-70,1999,0.37,0.14,0.59
K1,overall,71-80,1999,9.79,7.87,11.72
K2,overall,71-80,1999,13.18,12.02,14.35
K3a,overall,71-80,1999,6.88,6.76,7.0
K3b,overall,71-80,1999,5.85,5.57,6.13
K4,overall,71-80,1999,1.4,1.12,1.68
K5,overall,71-80,1999,1.02,0.6,1.44
K1,overall,80+,1999,11.89,9.44,14.34
K2,overall,80+,1999,17.15,15.33,18.97
K3a,overall,80+,1999,7.6,7.17,8.03
K3b,overall,80+,1999,8.44,8.23,8.65
K4,overall,80+,1999,2.1,1.85,2.36
K5,overall,80+,1999,1.24,0.98,1.51
K1,overall,Overall,2000,3.75,2.56,4.94
K2,overall,Overall,2000,1.87,1.61,2.12
K3a,overall,Overall,2000,0.84,0.81,0.87
K3b,overall,Overall,2000,0.53,0.49,0.58
K4,overall,Overall,2000,0.12,0.09,0.15
K5,overall,Overall,2000,0.09,0.05,0.13
K1,chn,Overall,2000,2.98,1.96,4.0
K2,chn,Overall,2000,1.92,1.6,2.24
K3a,chn,Overall,2000,0.97,0.93,1.0
K3b,chn,Overall,2000,0.58,0.52,0.63
K4,chn,Overall,2000,0.14,0.11,0.17
K5,chn,Overall,2000,0.08,0.05,0.12
K1,mal,Overall,2000,4.42,3.09,5.75
K2,mal,Overall,2000,1.6,1.46,1.74
K3a,mal,Overall,2000,0.64,0.62,0.65
K3b,mal,Overall,2000,0.5,0.45,0.54
K4,mal,Overall,2000,0.1,0.07,0.12
K5,mal,Overall,2000,0.06,0.03,0.1
K1,ind,Overall,2000,3.5,2.33,4.67
K2,ind,Overall,2000,3.05,2.42,3.68
K3a,ind,Overall,2000,1.42,1.34,1.49
K3b,ind,Overall,2000,0.67,0.64,0.71
K4,ind,Overall,2000,0.21,0.17,0.25
K5,ind,Overall,2000,0.23,0.12,0.33
K1,overall,18-30,2000,1.1,0.7,1.51
K2,overall,18-30,2000,0.08,0.06,0.11
K3a,overall,18-30,2000,0.03,0.03,0.03
K3b,overall,18-30,2000,0.0,0.0,0.0
K4,overall,18-30,2000,0.0,0.0,0.0
K5,overall,18-30,2000,0.0,0.0,0.0
K1,overall,31-40,2000,2.67,1.65,3.7
K2,overall,31-40,2000,0.36,0.27,0.44
K3a,overall,31-40,2000,0.08,0.08,0.08
K3b,overall,31-40,2000,0.0,0.0,0.0
K4,overall,31-40,2000,0.0,0.0,0.0
K5,overall,31-40,2000,0.0,0.0,0.0
K1,overall,41-50,2000,3.87,2.33,5.42
K2,overall,41-50,2000,0.87,0.65,1.09
K3a,overall,41-50,2000,0.27,0.25,0.29
K3b,overall,41-50,2000,0.04,0.03,0.05
K4,overall,41-50,2000,0.01,0.0,0.01
K5,overall,41-50,2000,0.0,0.0,0.0
K1,overall,51-60,2000,5.35,3.49,7.22
K2,overall,51-60,2000,2.27,1.82,2.72
K3a,overall,51-60,2000,1.05,0.93,1.17
K3b,overall,51-60,2000,0.36,0.29,0.42
K4,overall,51-60,2000,0.07,0.03,0.11
K5,overall,51-60,2000,0.05,0.02,0.08
K1,overall,61-70,2000,9.15,7.36,10.95
K2,overall,61-70,2000,7.5,6.67,8.32
K3a,overall,61-70,2000,3.46,3.36,3.56
K3b,overall,61-70,2000,2.07,1.76,2.37
K4,overall,61-70,2000,0.47,0.34,0.6
K5,overall,61-70,2000,0.37,0.15,0.59
K1,overall,71-80,2000,9.76,7.97,11.54
K2,overall,71-80,2000,13.01,11.79,14.23
K3a,overall,71-80,2000,6.94,6.87,7.0
K3b,overall,71-80,2000,5.79,5.45,6.14
K4,overall,71-80,2000,1.39,1.09,1.69
K5,overall,71-80,2000,1.02,0.52,1.53
K1,overall,80+,2000,11.52,9.22,13.83
K2,overall,80+,2000,17.29,15.57,19.02
K3a,overall,80+,2000,7.66,7.36,7.96
K3b,overall,80+,2000,8.61,8.24,8.97
K4,overall,80+,2000,2.04,1.83,2.24
K5,overall,80+,2000,1.25,1.1,1.4
K1,overall,Overall,2001,3.76,2.56,4.96
K2,overall,Overall,2001,1.9,1.63,2.17
K3a,overall,Overall,2001,0.87,0.83,0.9
K3b,overall,Overall,2001,0.55,0.51,0.6
K4,overall,Overall,2001,0.13,0.1,0.16
K5,overall,Overall,2001,0.09,0.05,0.13
K1,chn,Overall,2001,2.98,1.96,4.01
K2,chn,Overall,2001,1.96,1.63,2.28
K3a,chn,Overall,2001,1.0,0.97,1.03
K3b,chn,Overall,2001,0.6,0.55,0.65
K4,chn,Overall,2001,0.15,0.11,0.18
K5,chn,Overall,2001,0.08,0.05,0.12
K1,mal,Overall,2001,4.44,3.09,5.78
K2,mal,Overall,2001,1.62,1.47,1.77
K3a,mal,Overall,2001,0.65,0.63,0.67
K3b,mal,Overall,2001,0.51,0.47,0.55
K4,mal,Overall,2001,0.1,0.08,0.12
K5,mal,Overall,2001,0.06,0.02,0.1
K1,ind,Overall,2001,3.49,2.34,4.64
K2,ind,Overall,2001,3.08,2.43,3.73
K3a,ind,Overall,2001,1.47,1.38,1.56
K3b,ind,Overall,2001,0.69,0.63,0.74
K4,ind,Overall,2001,0.21,0.17,0.25
K5,ind,Overall,2001,0.22,0.12,0.31
K1,overall,18-30,2001,1.08,0.67,1.49
K2,overall,18-30,2001,0.08,0.05,0.1
K3a,overall,18-30,2001,0.03,0.03,0.03
K3b,overall,18-30,2001,0.0,0.0,0.0
K4,overall,18-30,2001,0.0,0.0,0.0
K5,overall,18-30,2001,0.0,0.0,0.0
K1,overall,31-40,2001,2.68,1.66,3.71
K2,overall,31-40,2001,0.36,0.26,0.46
K3a,overall,31-40,2001,0.08,0.08,0.08
K3b,overall,31-40,2001,0.0,0.0,0.0
K4,overall,31-40,2001,0.0,0.0,0.0
K5,overall,31-40,2001,0.0,0.0,0.0
K1,overall,41-50,2001,3.8,2.32,5.29
K2,overall,41-50,2001,0.87,0.66,1.08
K3a,overall,41-50,2001,0.28,0.26,0.3
K3b,overall,41-50,2001,0.04,0.03,0.06
K4,overall,41-50,2001,0.01,0.0,0.01
K5,overall,41-50,2001,0.0,0.0,0.0
K1,overall,51-60,2001,5.32,3.38,7.26
K2,overall,51-60,2001,2.21,1.75,2.66
K3a,overall,51-60,2001,1.03,0.91,1.15
K3b,overall,51-60,2001,0.35,0.3,0.41
K4,overall,51-60,2001,0.06,0.03,0.1
K5,overall,51-60,2001,0.05,0.01,0.08
K1,overall,61-70,2001,9.07,7.34,10.79
K2,overall,61-70,2001,7.38,6.59,8.17
K3a,overall,61-70,2001,3.47,3.36,3.58
K3b,overall,61-70,2001,2.11,1.85,2.38
K4,overall,61-70,2001,0.49,0.35,0.63
K5,overall,61-70,2001,0.36,0.18,0.55
K1,overall,71-80,2001,9.72,7.78,11.66
K2,overall,71-80,2001,12.95,11.54,14.35
K3a,overall,71-80,2001,6.92,6.84,7.0
K3b,overall,71-80,2001,5.79,5.4,6.18
K4,overall,71-80,2001,1.43,1.12,1.74
K5,overall,71-80,2001,0.99,0.48,1.5
K1,overall,80+,2001,11.04,8.87,13.21
K2,overall,80+,2001,17.55,16.04,19.07
K3a,overall,80+,2001,7.95,7.67,8.22
K3b,overall,80+,2001,8.7,8.41,8.99
K4,overall,80+,2001,1.96,1.84,2.07
K5,overall,80+,2001,1.34,1.09,1.6
K1,overall,Overall,2002,3.78,2.57,4.98
K2,overall,Overall,2002,1.94,1.66,2.21
K3a,overall,Overall,2002,0.89,0.86,0.93
K3b,overall,Overall,2002,0.57,0.52,0.62
K4,overall,Overall,2002,0.13,0.1,0.16
K5,overall,Overall,2002,0.09,0.05,0.13
K1,chn,Overall,2002,3.0,1.97,4.02
K2,chn,Overall,2002,2.0,1.67,2.33
K3a,chn,Overall,2002,1.04,1.0,1.08
K3b,chn,Overall,2002,0.61,0.57,0.66
K4,chn,Overall,2002,0.15,0.11,0.18
K5,chn,Overall,2002,0.09,0.06,0.13
K1,mal,Overall,2002,4.47,3.12,5.82
K2,mal,Overall,2002,1.65,1.5,1.81
K3a,mal,Overall,2002,0.67,0.64,0.69
K3b,mal,Overall,2002,0.53,0.49,0.57
K4,mal,Overall,2002,0.1,0.08,0.13
K5,mal,Overall,2002,0.06,0.02,0.1
K1,ind,Overall,2002,3.46,2.31,4.61
K2,ind,Overall,2002,3.1,2.44,3.76
K3a,ind,Overall,2002,1.5,1.42,1.58
K3b,ind,Overall,2002,0.7,0.63,0.76
K4,ind,Overall,2002,0.21,0.16,0.26
K5,ind,Overall,2002,0.22,0.14,0.3
K1,overall,18-30,2002,1.07,0.66,1.47
K2,overall,18-30,2002,0.08,0.06,0.1
K3a,overall,18-30,2002,0.03,0.03,0.03
K3b,overall,18-30,2002,0.0,0.0,0.0
K4,overall,18-30,2002,0.0,0.0,0.0
K5,overall,18-30,2002,0.0,0.0,0.0
K1,overall,31-40,2002,2.65,1.64,3.66
K2,overall,31-40,2002,0.36,0.26,0.45
K3a,overall,31-40,2002,0.08,0.08,0.08
K3b,overall,31-40,2002,0.0,0.0,0.0
K4,overall,31-40,2002,0.0,0.0,0.0
K5,overall,31-40,2002,0.0,0.0,0.0
K1,overall,41-50,2002,3.79,2.31,5.27
K2,overall,41-50,2002,0.87,0.66,1.07
K3a,overall,41-50,2002,0.29,0.27,0.3
K3b,overall,41-50,2002,0.04,0.03,0.05
K4,overall,41-50,2002,0.01,0.0,0.01
K5,overall,41-50,2002,0.0,0.0,0.0
K1,overall,51-60,2002,5.3,3.35,7.25
K2,overall,51-60,2002,2.22,1.72,2.72
K3a,overall,51-60,2002,1.03,0.92,1.15
K3b,overall,51-60,2002,0.34,0.28,0.4
K4,overall,51-60,2002,0.06,0.03,0.09
K5,overall,51-60,2002,0.04,0.01,0.07
K1,overall,61-70,2002,8.93,7.13,10.72
K2,overall,61-70,2002,7.24,6.54,7.94
K3a,overall,61-70,2002,3.54,3.37,3.71
K3b,overall,61-70,2002,2.12,1.89,2.35
K4,overall,61-70,2002,0.48,0.32,0.63
K5,overall,61-70,2002,0.37,0.17,0.56
K1,overall,71-80,2002,9.79,7.9,11.69
K2,overall,71-80,2002,12.91,11.43,14.38
K3a,overall,71-80,2002,6.82,6.69,6.95
K3b,overall,71-80,2002,5.89,5.41,6.37
K4,overall,71-80,2002,1.42,1.15,1.69
K5,overall,71-80,2002,1.03,0.59,1.47
K1,overall,80+,2002,10.78,8.81,12.74
K2,overall,80+,2002,17.93,16.38,19.48
K3a,overall,80+,2002,8.12,8.1,8.15
K3b,overall,80+,2002,8.54,8.3,8.79
K4,overall,80+,2002,1.86,1.62,2.09
K5,overall,80+,2002,1.33,1.02,1.65
K1,overall,Overall,2003,3.82,2.61,5.03
K2,overall,Overall,2003,1.96,1.68,2.24
K3a,overall,Overall,2003,0.92,0.88,0.95
K3b,overall,Overall,2003,0.59,0.54,0.64
K4,overall,Overall,2003,0.13,0.1,0.16
K5,overall,Overall,2003,0.09,0.05,0.14
K1,chn,Overall,2003,3.03,2.0,4.06
K2,chn,Overall,2003,2.02,1.68,2.35
K3a,chn,Overall,2003,1.07,1.02,1.11
K3b,chn,Overall,2003,0.63,0.59,0.68
K4,chn,Overall,2003,0.15,0.12,0.18
K5,chn,Overall,2003,0.09,0.05,0.13
K1,mal,Overall,2003,4.53,3.18,5.89
K2,mal,Overall,2003,1.69,1.53,1.86
K3a,mal,Overall,2003,0.69,0.67,0.71
K3b,mal,Overall,2003,0.55,0.5,0.59
K4,mal,Overall,2003,0.11,0.08,0.13
K5,mal,Overall,2003,0.06,0.03,0.1
K1,ind,Overall,2003,3.47,2.33,4.6
K2,ind,Overall,2003,3.12,2.46,3.78
K3a,ind,Overall,2003,1.5,1.4,1.59
K3b,ind,Overall,2003,0.7,0.64,0.75
K4,ind,Overall,2003,0.2,0.14,0.25
K5,ind,Overall,2003,0.21,0.11,0.31
K1,overall,18-30,2003,1.06,0.66,1.46
K2,overall,18-30,2003,0.08,0.06,0.11
K3a,overall,18-30,2003,0.03,0.03,0.03
K3b,overall,18-30,2003,0.0,0.0,0.0
K4,overall,18-30,2003,0.0,0.0,0.0
K5,overall,18-30,2003,0.0,0.0,0.0
K1,overall,31-40,2003,2.63,1.64,3.63
K2,overall,31-40,2003,0.35,0.25,0.45
K3a,overall,31-40,2003,0.08,0.08,0.08
K3b,overall,31-40,2003,0.0,0.0,0.01
K4,overall,31-40,2003,0.0,0.0,0.0
K5,overall,31-40,2003,0.0,0.0,0.0
K1,overall,41-50,2003,3.79,2.32,5.27
K2,overall,41-50,2003,0.88,0.68,1.08
K3a,overall,41-50,2003,0.29,0.27,0.32
K3b,overall,41-50,2003,0.05,0.04,0.06
K4,overall,41-50,2003,0.01,0.0,0.01
K5,overall,41-50,2003,0.0,0.0,0.0
K1,overall,51-60,2003,5.34,3.4,7.28
K2,overall,51-60,2003,2.23,1.73,2.72
K3a,overall,51-60,2003,1.06,0.93,1.19
K3b,overall,51-60,2003,0.36,0.3,0.41
K4,overall,51-60,2003,0.06,0.03,0.09
K5,overall,51-60,2003,0.04,0.01,0.08
K1,overall,61-70,2003,8.92,7.03,10.81
K2,overall,61-70,2003,7.16,6.46,7.86
K3a,overall,61-70,2003,3.55,3.38,3.72
K3b,overall,61-70,2003,2.12,1.89,2.34
K4,overall,61-70,2003,0.47,0.32,0.62
K5,overall,61-70,2003,0.37,0.17,0.57
K1,overall,71-80,2003,9.88,8.14,11.63
K2,overall,71-80,2003,12.82,11.42,14.23
K3a,overall,71-80,2003,6.76,6.68,6.84
K3b,overall,71-80,2003,5.93,5.43,6.43
K4,overall,71-80,2003,1.38,1.07,1.69
K5,overall,71-80,2003,0.98,0.53,1.42
K1,overall,80+,2003,10.3,8.46,12.15
K2,overall,80+,2003,17.91,16.01,19.81
K3a,overall,80+,2003,8.22,8.33,8.12
K3b,overall,80+,2003,8.7,8.43,8.97
K4,overall,80+,2003,1.93,1.74,2.12
K5,overall,80+,2003,1.28,0.94,1.61
K1,overall,Overall,2004,3.84,2.63,5.06
K2,overall,Overall,2004,2.0,1.72,2.29
K3a,overall,Overall,2004,0.94,0.91,0.98
K3b,overall,Overall,2004,0.61,0.56,0.66
K4,overall,Overall,2004,0.14,0.1,0.17
K5,overall,Overall,2004,0.1,0.05,0.14
K1,chn,Overall,2004,3.05,2.02,4.08
K2,chn,Overall,2004,2.07,1.73,2.41
K3a,chn,Overall,2004,1.11,1.06,1.15
K3b,chn,Overall,2004,0.66,0.62,0.71
K4,chn,Overall,2004,0.16,0.12,0.2
K5,chn,Overall,2004,0.09,0.05,0.13
K1,mal,Overall,2004,4.58,3.22,5.94
K2,mal,Overall,2004,1.73,1.56,1.89
K3a,mal,Overall,2004,0.7,0.68,0.72
K3b,mal,Overall,2004,0.56,0.51,0.61
K4,mal,Overall,2004,0.11,0.08,0.14
K5,mal,Overall,2004,0.07,0.03,0.1
K1,ind,Overall,2004,3.45,2.3,4.6
K2,ind,Overall,2004,3.12,2.44,3.79
K3a,ind,Overall,2004,1.54,1.45,1.64
K3b,ind,Overall,2004,0.72,0.66,0.78
K4,ind,Overall,2004,0.21,0.15,0.27
K5,ind,Overall,2004,0.22,0.12,0.33
K1,overall,18-30,2004,1.06,0.66,1.46
K2,overall,18-30,2004,0.08,0.05,0.11
K3a,overall,18-30,2004,0.03,0.03,0.03
K3b,overall,18-30,2004,0.0,0.0,0.0
K4,overall,18-30,2004,0.0,0.0,0.0
K5,overall,18-30,2004,0.0,0.0,0.0
K1,overall,31-40,2004,2.61,1.62,3.59
K2,overall,31-40,2004,0.34,0.26,0.43
K3a,overall,31-40,2004,0.08,0.07,0.08
K3b,overall,31-40,2004,0.0,0.0,0.01
K4,overall,31-40,2004,0.0,0.0,0.0
K5,overall,31-40,2004,0.0,0.0,0.0
K1,overall,41-50,2004,3.75,2.3,5.19
K2,overall,41-50,2004,0.88,0.68,1.08
K3a,overall,41-50,2004,0.3,0.28,0.31
K3b,overall,41-50,2004,0.05,0.05,0.06
K4,overall,41-50,2004,0.01,0.01,0.01
K5,overall,41-50,2004,0.0,0.0,0.0
K1,overall,51-60,2004,5.36,3.42,7.29
K2,overall,51-60,2004,2.25,1.76,2.74
K3a,overall,51-60,2004,1.09,0.97,1.21
K3b,overall,51-60,2004,0.38,0.32,0.45
K4,overall,51-60,2004,0.07,0.04,0.1
K5,overall,51-60,2004,0.04,0.01,0.07
K1,overall,61-70,2004,8.95,7.01,10.88
K2,overall,61-70,2004,7.19,6.48,7.89
K3a,overall,61-70,2004,3.6,3.44,3.77
K3b,overall,61-70,2004,2.13,1.87,2.39
K4,overall,61-70,2004,0.48,0.33,0.64
K5,overall,61-70,2004,0.39,0.18,0.61
K1,overall,71-80,2004,9.78,8.11,11.44
K2,overall,71-80,2004,12.79,11.4,14.18
K3a,overall,71-80,2004,6.73,6.63,6.82
K3b,overall,71-80,2004,5.92,5.51,6.32
K4,overall,71-80,2004,1.43,1.08,1.78
K5,overall,71-80,2004,1.01,0.53,1.49
K1,overall,80+,2004,10.17,8.28,12.07
K2,overall,80+,2004,17.88,15.91,19.85
K3a,overall,80+,2004,8.13,8.13,8.13
K3b,overall,80+,2004,8.81,8.47,9.15
K4,overall,80+,2004,2.04,1.83,2.25
K5,overall,80+,2004,1.22,0.97,1.48
K1,overall,Overall,2005,3.86,2.64,5.09
K2,overall,Overall,2005,2.05,1.76,2.33
K3a,overall,Overall,2005,0.97,0.93,1.01
K3b,overall,Overall,2005,0.63,0.58,0.67
K4,overall,Overall,2005,0.14,0.1,0.18
K5,overall,Overall,2005,0.1,0.05,0.15
K1,chn,Overall,2005,3.05,2.01,4.09
K2,chn,Overall,2005,2.13,1.78,2.47
K3a,chn,Overall,2005,1.15,1.1,1.2
K3b,chn,Overall,2005,0.7,0.65,0.75
K4,chn,Overall,2005,0.16,0.12,0.2
K5,chn,Overall,2005,0.1,0.05,0.14
K1,mal,Overall,2005,4.63,3.26,6.01
K2,mal,Overall,2005,1.77,1.61,1.93
K3a,mal,Overall,2005,0.71,0.68,0.74
K3b,mal,Overall,2005,0.58,0.54,0.62
K4,mal,Overall,2005,0.12,0.09,0.16
K5,mal,Overall,2005,0.07,0.03,0.11
K1,ind,Overall,2005,3.41,2.26,4.55
K2,ind,Overall,2005,3.11,2.44,3.78
K3a,ind,Overall,2005,1.6,1.49,1.7
K3b,ind,Overall,2005,0.73,0.68,0.79
K4,ind,Overall,2005,0.2,0.15,0.26
K5,ind,Overall,2005,0.23,0.12,0.35
K1,overall,18-30,2005,1.04,0.65,1.43
K2,overall,18-30,2005,0.08,0.05,0.11
K3a,overall,18-30,2005,0.03,0.03,0.03
K3b,overall,18-30,2005,0.0,0.0,0.0
K4,overall,18-30,2005,0.0,0.0,0.0
K5,overall,18-30,2005,0.0,0.0,0.0
K1,overall,31-40,2005,2.56,1.57,3.56
K2,overall,31-40,2005,0.34,0.24,0.43
K3a,overall,31-40,2005,0.08,0.08,0.08
K3b,overall,31-40,2005,0.01,0.0,0.01
K4,overall,31-40,2005,0.0,0.0,0.0
K5,overall,31-40,2005,0.0,0.0,0.0
K1,overall,41-50,2005,3.7,2.28,5.12
K2,overall,41-50,2005,0.87,0.66,1.07
K3a,overall,41-50,2005,0.3,0.28,0.32
K3b,overall,41-50,2005,0.05,0.05,0.06
K4,overall,41-50,2005,0.01,0.01,0.01
K5,overall,41-50,2005,0.0,0.0,0.01
K1,overall,51-60,2005,5.37,3.43,7.31
K2,overall,51-60,2005,2.28,1.81,2.74
K3a,overall,51-60,2005,1.12,1.01,1.22
K3b,overall,51-60,2005,0.38,0.32,0.44
K4,overall,51-60,2005,0.07,0.03,0.1
K5,overall,51-60,2005,0.04,0.01,0.08
K1,overall,61-70,2005,8.96,7.02,10.9
K2,overall,61-70,2005,7.17,6.51,7.83
K3a,overall,61-70,2005,3.57,3.37,3.77
K3b,overall,61-70,2005,2.2,1.95,2.45
K4,overall,61-70,2005,0.5,0.32,0.69
K5,overall,61-70,2005,0.38,0.16,0.61
K1,overall,71-80,2005,9.65,7.96,11.35
K2,overall,71-80,2005,12.82,11.35,14.3
K3a,overall,71-80,2005,6.78,6.68,6.88
K3b,overall,71-80,2005,5.96,5.6,6.32
K4,overall,71-80,2005,1.45,1.1,1.8
K5,overall,71-80,2005,1.09,0.58,1.6
K1,overall,80+,2005,10.16,8.16,12.16
K2,overall,80+,2005,17.78,16.05,19.5
K3a,overall,80+,2005,8.22,8.01,8.42
K3b,overall,80+,2005,8.82,8.65,9.0
K4,overall,80+,2005,2.08,1.76,2.4
K5,overall,80+,2005,1.25,0.93,1.57
K1,overall,Overall,2006,3.87,2.65,5.1
K2,overall,Overall,2006,2.08,1.79,2.37
K3a,overall,Overall,2006,1.01,0.96,1.05
K3b,overall,Overall,2006,0.65,0.6,0.7
K4,overall,Overall,2006,0.15,0.11,0.19
K5,overall,Overall,2006,0.11,0.06,0.16
K1,chn,Overall,2006,3.07,2.03,4.1
K2,chn,Overall,2006,2.17,1.82,2.52
K3a,chn,Overall,2006,1.21,1.16,1.26
K3b,chn,Overall,2006,0.73,0.68,0.78
K4,chn,Overall,2006,0.17,0.13,0.22
K5,chn,Overall,2006,0.11,0.06,0.15
K1,mal,Overall,2006,4.66,3.29,6.04
K2,mal,Overall,2006,1.8,1.63,1.98
K3a,mal,Overall,2006,0.72,0.69,0.76
K3b,mal,Overall,2006,0.59,0.56,0.63
K4,mal,Overall,2006,0.12,0.09,0.16
K5,mal,Overall,2006,0.08,0.04,0.12
K1,ind,Overall,2006,3.4,2.25,4.55
K2,ind,Overall,2006,3.08,2.42,3.74
K3a,ind,Overall,2006,1.64,1.53,1.74
K3b,ind,Overall,2006,0.75,0.69,0.82
K4,ind,Overall,2006,0.2,0.14,0.26
K5,ind,Overall,2006,0.24,0.13,0.35
K1,overall,18-30,2006,1.03,0.64,1.41
K2,overall,18-30,2006,0.08,0.05,0.11
K3a,overall,18-30,2006,0.03,0.03,0.03
K3b,overall,18-30,2006,0.0,0.0,0.0
K4,overall,18-30,2006,0.0,0.0,0.0
K5,overall,18-30,2006,0.0,0.0,0.0
K1,overall,31-40,2006,2.53,1.55,3.51
K2,overall,31-40,2006,0.33,0.24,0.42
K3a,overall,31-40,2006,0.08,0.08,0.09
K3b,overall,31-40,2006,0.01,0.01,0.01
K4,overall,31-40,2006,0.0,0.0,0.0
K5,overall,31-40,2006,0.0,0.0,0.0
K1,overall,41-50,2006,3.65,2.23,5.07
K2,overall,41-50,2006,0.87,0.68,1.07
K3a,overall,41-50,2006,0.31,0.29,0.33
K3b,overall,41-50,2006,0.05,0.05,0.06
K4,overall,41-50,2006,0.01,0.0,0.01
K5,overall,41-50,2006,0.0,0.0,0.01
K1,overall,51-60,2006,5.45,3.57,7.34
K2,overall,51-60,2006,2.37,1.88,2.85
K3a,overall,51-60,2006,1.17,1.06,1.27
